Region,Country,State,City,Month,Day,Year,AvgTemperature
Australia/South Pacific,Australia,,Canberra,1,22,2010,88.9
Middle East,Turkey,,Istanbul,9,29,2010,72.3
North America,US,Texas,San Antonio,5,14,2010,72.3
Australia/South Pacific,Australia,,Sydney,9,28,2010,46.0
Middle East,Turkey,,Istanbul,6,11,2010,74.7
South/Central America & Carribean,Uruguay,,Montvideo,3,19,2010,71.1
Asia,Mongolia,,Ulan-bator,10,8,2010,35.3
North America,US,Maine,Portland,10,25,2010,46.1
North America,US,Georgia,Columbus,2,3,2010,44.4
North America,US,Ohio,Akron Canton,4,17,2010,44.1
North America,US,District of Columbia,Washington,12,15,2010,25.2
North America,US,Indiana,Evansville,7,27,2010,81.2
North America,US,Texas,Corpus Christi,9,28,2010,70.6
North America,US,Texas,Waco,7,2,2010,78.4
Africa,Tunisia,,Tunis,12,2,2010,58.2
North America,US,Nebraska,Lincoln,7,31,2010,79.7
North America,US,Indiana,Evansville,7,11,2010,76.8
North America,US,Washington,Spokane,7,10,2010,77.4
North America,US,Alaska,Juneau,1,16,2010,37.5
Middle East,Turkey,,Ankara,6,11,2010,64.0
Africa,Algeria,,Algiers,4,27,2010,65.1
Africa,Algeria,,Algiers,2,9,2010,54.4
North America,US,Louisiana,New Orleans,1,1,2010,50.9
North America,US,Wyoming,Casper,8,14,2010,61.5
North America,US,Michigan,Grand Rapids,6,27,2010,72.7
North America,US,Ohio,Cincinnati,12,27,2010,21.8
North America,US,Michigan,Detroit,9,26,2010,53.5
South/Central America & Carribean,Nicaragua,,Managua,1,25,2010,79.9
North America,US,Additional Territories,San Juan Puerto Rico,5,19,2010,81.5
Europe,Norway,,Oslo,6,2,2010,60.4
Africa,Mozambique,,Maputo,9,12,2010,67.4
North America,US,Tennessee,Chattanooga,10,15,2010,58.1
North America,US,Wisconsin,Green Bay,7,15,2010,74.1
North America,US,Florida,Tallahassee,8,30,2010,77.9
North America,US,Nevada,Las Vegas,12,17,2010,47.7
North America,US,Texas,Abilene,10,4,2010,59.7
North America,US,Utah,Salt Lake City,10,9,2010,56.2
Europe,France,,Paris,6,29,2010,72.7
North America,US,New York,Buffalo,4,19,2010,45.1
North America,US,Vermont,Burlington,9,13,2010,59.4
North America,US,Texas,Austin,5,19,2010,77.0
South/Central America & Carribean,Brazil,,Brasilia,9,11,2010,72.6
Africa,Zambia,,Lusaka,4,28,2010,64.0
Australia/South Pacific,Australia,,Brisbane,8,22,2010,59.9
North America,US,California,Los Angeles,12,5,2010,57.9
Asia,Nepal,,Katmandu,9,8,2010,76.2
South/Central America & Carribean,Argentina,,Buenos Aires,4,9,2010,67.1
South/Central America & Carribean,Uruguay,,Montvideo,5,20,2010,63.0
Middle East,Qatar,,Doha,2,3,2010,72.3
North America,US,District of Columbia,Washington,10,16,2010,58.8
North America,US,Texas,Corpus Christi,10,10,2010,74.1
North America,US,Connecticut,Bridgeport,7,30,2010,73.8
Middle East,Oman,,Muscat,1,28,2010,72.3
South/Central America & Carribean,Colombia,,Bogota,6,18,2010,58.6
North America,US,Illinois,Rockford,1,6,2010,8.5
Africa,Sierra Leone,,Freetown,11,9,2010,83.7
South/Central America & Carribean,Barbados,,Bridgetown,1,26,2010,80.0
Asia,Philippines,,Manila,11,29,2010,80.7
Asia,China,,Guangzhou,12,5,2010,70.5
Africa,Guinea-Bissau,,Bissau,9,2,2010,80.1
Middle East,Bahrain,,Manama,12,13,2010,74.5
North America,US,New York,Buffalo,5,1,2010,68.3
Asia,Singapore,,Singapore,2,6,2010,83.8
South/Central America & Carribean,Cuba,,Havana,1,4,2010,61.6
Africa,Gabon,,Libreville,7,19,2010,76.7
Africa,Namibia,,Windhoek,12,6,2010,76.0
South/Central America & Carribean,Dominican Republic,,Santo Domingo,3,6,2010,72.7
North America,US,Texas,El Paso,10,8,2010,73.2
Africa,Ethiopia,,Addis Ababa,7,14,2010,58.3
Africa,Guinea,,Conakry,4,19,2010,86.0
North America,US,Louisiana,New Orleans,6,22,2010,82.6
South/Central America & Carribean,Suriname,,Paramaribo,9,11,2010,80.7
North America,US,Arizona,Tucson,8,30,2010,77.2
Europe,United Kingdom,,Belfast,9,21,2010,60.8
North America,US,Minnesota,Minneapolis St. Paul,6,9,2010,66.2
Asia,India,,Calcutta,2,22,2010,73.2
Europe,Hungary,,Budapest,3,14,2010,42.0
Europe,Sweden,,Stockholm,1,18,2010,29.4
Asia,Bangladesh,,Dhaka,8,20,2010,82.8
North America,US,District of Columbia,Washington,6,29,2010,85.3
South/Central America & Carribean,Costa Rica,,San Jose,7,15,2010,70.1
South/Central America & Carribean,Brazil,,Brasilia,7,31,2010,67.6
Europe,Russia,,Moscow,7,7,2010,72.6
Africa,Ivory Coast,,Abidjan,1,3,2010,82.9
North America,US,Texas,Brownsville,6,2,2010,85.0
North America,US,Georgia,Atlanta,10,29,2010,56.0
North America,Canada,,Montreal,7,4,2010,74.8
North America,US,Florida,Tampa St. Petersburg,8,26,2010,80.9
South/Central America & Carribean,Brazil,,Brasilia,8,3,2010,67.3
North America,US,Massachusetts,Boston,3,8,2010,49.4
Middle East,Syria,,Damascus,4,13,2010,57.9
Asia,Pakistan,,Karachi,10,20,2010,86.8
North America,US,Washington,Yakima,7,9,2010,78.9
North America,US,Massachusetts,Boston,9,30,2010,71.9
Europe,Hungary,,Budapest,10,10,2010,47.7
North America,US,Washington,Seattle,4,10,2010,43.1
Europe,The Netherlands,,Amsterdam,6,16,2010,59.6
North America,US,Oregon,Salem,8,4,2010,63.5
Europe,Latvia,,Riga,2,1,2010,22.6
North America,US,Missouri,Springfield,11,4,2010,48.5
Asia,India,,Bombay (Mumbai),2,14,2010,78.7
North America,US,Iowa,Sioux City,6,20,2010,74.2
North America,US,Montana,Helena,7,8,2010,65.1
North America,US,Minnesota,Minneapolis St. Paul,7,16,2010,79.5
Asia,Vietnam,,Hanoi,12,14,2010,66.6
South/Central America & Carribean,Costa Rica,,San Jose,9,20,2010,71.0
South/Central America & Carribean,Dominican Republic,,Santo Domingo,7,5,2010,83.8
North America,US,Mississippi,Tupelo,3,17,2010,49.2
North America,US,Washington,Seattle,8,12,2010,62.6
Africa,Guinea-Bissau,,Bissau,1,22,2010,81.7
Middle East,Jordan,,Amman,1,18,2010,51.2
Europe,France,,Bordeaux,9,29,2010,58.7
North America,US,Tennessee,Chattanooga,6,24,2010,81.5
North America,US,Nevada,Las Vegas,9,20,2010,88.2
Asia,India,,Delhi,5,8,2010,87.7
North America,US,Iowa,Sioux City,11,19,2010,37.9
North America,US,Colorado,Pueblo,9,1,2010,73.0
Asia,Kyrgyzstan,,Bishkek,8,27,2010,73.8
Africa,Guinea,,Conakry,8,1,2010,78.2
North America,US,Oregon,Eugene,1,28,2010,39.9
South/Central America & Carribean,Peru,,Lima,12,13,2010,66.4
North America,US,New Hampshire,Concord,4,2,2010,51.8
North America,US,Alaska,Anchorage,3,9,2010,22.4
South/Central America & Carribean,Brazil,,Rio de Janeiro,12,17,2010,83.3
Europe,Switzerland,,Geneva,12,27,2010,23.2
Asia,Mongolia,,Ulan-bator,1,20,2010,-22.9
North America,US,New York,New York City,3,23,2010,51.0
Africa,Senegal,,Dakar,3,3,2010,70.8
North America,US,Michigan,Detroit,9,29,2010,57.1
North America,US,North Dakota,Fargo,11,28,2010,33.0
Africa,Mozambique,,Maputo,7,8,2010,68.5
North America,US,Indiana,Fort Wayne,5,20,2010,61.3
North America,US,Wyoming,Cheyenne,6,4,2010,60.8
North America,US,Texas,Abilene,2,2,2010,40.2
North America,US,Connecticut,Hartford Springfield,4,16,2010,47.9
Asia,Thailand,,Bangkok,6,21,2010,86.0
North America,US,New York,Albany,9,13,2010,62.7
North America,US,Michigan,Lansing,7,27,2010,74.2
Europe,Austria,,Vienna,4,10,2010,47.3
Europe,Ireland,,Dublin,4,28,2010,57.9
North America,US,Michigan,Grand Rapids,9,21,2010,71.8
South/Central America & Carribean,Peru,,Lima,12,27,2010,70.8
Africa,Namibia,,Windhoek,10,10,2010,75.4
North America,US,Wyoming,Casper,6,2,2010,56.0
North America,US,Pennsylvania,Pittsburgh,8,29,2010,72.0
North America,US,Florida,Jacksonville,5,6,2010,79.3
North America,US,Georgia,Savannah,8,12,2010,85.2
Europe,Ireland,,Dublin,7,24,2010,62.1
North America,US,Texas,Corpus Christi,3,6,2010,64.0
Europe,Denmark,,Copenhagen,8,2,2010,64.3
North America,US,Ohio,Columbus,6,25,2010,75.4
Europe,Italy,,Milan,10,28,2010,40.2
North America,US,Indiana,Fort Wayne,1,14,2010,29.1
North America,US,Oklahoma,Oklahoma City,6,7,2010,79.2
Africa,Congo,,Brazzaville,11,15,2010,78.5
North America,US,Colorado,Pueblo,7,12,2010,75.4
North America,US,Texas,Corpus Christi,4,27,2010,71.2
North America,US,Michigan,Grand Rapids,11,6,2010,33.1
North America,US,Michigan,Lansing,3,12,2010,50.8
North America,US,Tennessee,Chattanooga,4,3,2010,65.5
Europe,Hungary,,Budapest,1,23,2010,23.4
North America,US,Georgia,Macon,1,6,2010,30.7
North America,US,Oregon,Eugene,5,28,2010,52.4
North America,US,New Jersey,Atlantic City,1,18,2010,45.2
Europe,Romania,,Bucharest,2,22,2010,38.5
North America,US,Louisiana,Shreveport,8,17,2010,84.8
North America,US,Alabama,Huntsville,6,6,2010,78.6
North America,US,Indiana,Fort Wayne,5,23,2010,69.6
North America,US,Arkansas,Little Rock,6,26,2010,87.1
North America,US,Pennsylvania,Philadelphia,10,4,2010,53.8
Europe,Yugoslavia,,Belgrade,1,16,2010,30.0
Europe,Yugoslavia,,Belgrade,2,16,2010,31.0
Australia/South Pacific,Australia,,Melbourne,10,3,2010,63.3
North America,US,Kentucky,Louisville,12,18,2010,27.5
Asia,India,,Chennai (Madras),11,15,2010,79.4
Europe,Spain,,Barcelona,3,15,2010,48.9
South/Central America & Carribean,Argentina,,Buenos Aires,11,6,2010,67.1
North America,US,North Carolina,Asheville,7,3,2010,69.7
North America,US,Alaska,Fairbanks,8,18,2010,54.6
North America,US,Kentucky,Lexington,3,10,2010,57.0
North America,US,Nevada,Las Vegas,8,31,2010,80.8
Europe,Hungary,,Budapest,12,28,2010,11.7
Europe,Albania,,Tirana,11,18,2010,55.0
Middle East,Kuwait,,Kuwait,4,16,2010,81.3
Africa,Namibia,,Windhoek,8,8,2010,67.4
North America,US,Georgia,Macon,6,8,2010,76.0
North America,US,Alaska,Juneau,8,12,2010,56.5
Asia,Mongolia,,Ulan-bator,6,26,2010,84.8
North America,US,Wyoming,Cheyenne,11,13,2010,28.6
North America,US,California,Sacramento,3,22,2010,57.0
North America,US,Illinois,Springfield,6,6,2010,74.3
North America,US,New Jersey,Atlantic City,3,5,2010,40.0
North America,US,Nevada,Las Vegas,12,13,2010,55.9
North America,US,Florida,Miami Beach,2,12,2010,64.3
Europe,Spain,,Bilbao,11,29,2010,39.6
North America,US,Additional Territories,San Juan Puerto Rico,7,11,2010,84.5
Europe,Italy,,Rome,12,4,2010,46.6
Middle East,Turkey,,Istanbul,3,10,2010,43.7
Asia,China,,Shenyang,4,29,2010,42.7
Asia,Thailand,,Bangkok,8,21,2010,82.3
Asia,Vietnam,,Hanoi,10,19,2010,79.2
North America,US,Utah,Salt Lake City,3,28,2010,42.0
Asia,Sri Lanka,,Colombo,4,2,2010,84.3
Europe,Czech Republic,,Prague,4,13,2010,47.7
Europe,Russia,,Moscow,11,22,2010,27.1
North America,US,Alaska,Anchorage,7,12,2010,58.4
North America,US,New York,Syracuse,9,10,2010,59.8
North America,US,Missouri,Springfield,1,22,2010,39.2
Asia,Indonesia,,Jakarta,9,27,2010,81.4
Africa,Mozambique,,Maputo,9,7,2010,69.8
North America,US,Alabama,Mobile,6,3,2010,76.8
North America,US,Ohio,Youngstown,1,18,2010,34.7
South/Central America & Carribean,Nicaragua,,Managua,3,29,2010,86.4
South/Central America & Carribean,Guyana,,Georgetown,1,24,2010,-99.0
North America,US,Kentucky,Lexington,4,18,2010,48.2
South/Central America & Carribean,Barbados,,Bridgetown,10,23,2010,82.3
Africa,Madagascar,,Antananarivo,7,22,2010,59.6
South/Central America & Carribean,Brazil,,Sao Paulo,7,6,2010,66.2
North America,US,Illinois,Chicago,8,6,2010,73.1
Middle East,Saudi Arabia,,Dhahran,6,5,2010,95.4
North America,US,Louisiana,Shreveport,1,1,2010,43.6
South/Central America & Carribean,Bermuda,,Hamilton,8,22,2010,82.9
South/Central America & Carribean,Argentina,,Buenos Aires,8,30,2010,49.8
North America,US,Georgia,Columbus,12,21,2010,47.7
South/Central America & Carribean,Bolivia,,La Paz,1,20,2010,48.1
North America,US,Florida,Tampa St. Petersburg,6,30,2010,80.4
North America,US,Wisconsin,Green Bay,6,23,2010,73.9
North America,US,North Carolina,Raleigh Durham,7,1,2010,74.1
North America,US,Georgia,Columbus,9,25,2010,81.4
North America,US,New York,New York City,12,12,2010,48.5
Asia,Indonesia,,Jakarta,11,30,2010,83.7
North America,US,Nebraska,Omaha,6,24,2010,69.7
Australia/South Pacific,Australia,,Perth,1,2,2010,83.1
North America,US,Maryland,Baltimore,2,1,2010,24.0
North America,US,Montana,Billings,2,26,2010,37.8
North America,US,Oregon,Salem,5,17,2010,61.5
Europe,Sweden,,Stockholm,8,27,2010,54.7
Europe,Iceland,,Reykjavik,4,23,2010,34.3
North America,US,Michigan,Detroit,8,31,2010,80.7
North America,US,South Dakota,Sioux Falls,12,13,2010,1.8
Europe,Spain,,Madrid,1,28,2010,37.5
Asia,China,,Chengdu,3,29,2010,56.8
North America,US,North Dakota,Fargo,3,31,2010,56.3
Asia,Laos,,Vientiane,4,25,2010,86.5
North America,US,Missouri,Kansas City,3,7,2010,49.1
North America,US,Colorado,Colorado Springs,11,14,2010,29.4
Asia,Japan,,Tokyo,4,25,2010,55.8
Asia,Philippines,,Manila,4,26,2010,87.2
Australia/South Pacific,Australia,,Canberra,7,10,2010,49.9
Africa,Sierra Leone,,Freetown,1,20,2010,82.6
Middle East,Lebanon,,Beirut,4,1,2010,63.9
Middle East,Qatar,,Doha,11,8,2010,82.0
North America,US,Montana,Great Falls,2,5,2010,12.9
North America,US,District of Columbia,Washington,12,27,2010,30.9
Asia,China,,Shenyang,4,15,2010,44.8
Africa,Malawi,,Lilongwe,7,13,2010,65.7
North America,US,North Carolina,Greensboro,2,24,2010,39.9
North America,US,Wyoming,Cheyenne,6,14,2010,47.1
North America,US,Colorado,Colorado Springs,6,7,2010,78.0
North America,US,Connecticut,Hartford Springfield,1,3,2010,16.2
North America,US,Oregon,Medford,1,25,2010,45.7
Europe,France,,Paris,1,7,2010,25.0
Middle East,Saudi Arabia,,Riyadh,9,2,2010,98.4
North America,US,Texas,Abilene,12,4,2010,58.8
Europe,Belarus,,Minsk,12,24,2010,31.2
Asia,Philippines,,Manila,1,9,2010,80.9
North America,US,Tennessee,Chattanooga,9,24,2010,79.4
Asia,Hong Kong,,Hong Kong,10,18,2010,82.1
Asia,Malaysia,,Kuala Lumpur,5,30,2010,85.4
North America,US,Georgia,Atlanta,9,23,2010,79.5
Europe,Finland,,Helsinki,6,17,2010,57.3
North America,US,Texas,San Antonio,4,9,2010,57.8
North America,US,Mississippi,Tupelo,4,2,2010,64.3
North America,US,Ohio,Toledo,10,2,2010,50.9
South/Central America & Carribean,Uruguay,,Montvideo,12,1,2010,73.2
North America,US,Texas,Lubbock,1,21,2010,47.2
Europe,Slovakia,,Bratislava,4,1,2010,46.5
Asia,Japan,,Sapporo,11,28,2010,32.6
North America,US,Texas,Dallas Ft Worth,7,26,2010,86.1
North America,US,North Dakota,Fargo,12,29,2010,23.0
Asia,Laos,,Vientiane,3,15,2010,86.8
Africa,Tanzania,,Dar Es Salaam,12,16,2010,83.5
Asia,Sri Lanka,,Colombo,5,22,2010,82.6
South/Central America & Carribean,Guyana,,Georgetown,11,25,2010,-99.0
North America,US,Wyoming,Casper,4,22,2010,47.6
North America,US,Virginia,Richmond,5,28,2010,72.2
North America,US,Alabama,Huntsville,1,28,2010,45.0
North America,US,Washington,Seattle,4,19,2010,59.6
Middle East,Kuwait,,Kuwait,5,16,2010,95.0
Europe,Romania,,Bucharest,4,13,2010,52.5
North America,US,Texas,San Antonio,11,10,2010,69.1
North America,US,Nevada,Las Vegas,8,14,2010,91.8
North America,US,Texas,San Antonio,6,6,2010,83.7
Australia/South Pacific,New Zealand,,Auckland,1,8,2010,61.7
Europe,United Kingdom,,Belfast,12,23,2010,19.6
North America,Canada,,Montreal,3,18,2010,48.3
South/Central America & Carribean,Uruguay,,Montvideo,10,2,2010,54.9
Europe,Greece,,Athens,4,11,2010,60.2
Africa,Nigeria,,Niamey,4,26,2010,98.5
Africa,Guinea-Bissau,,Bissau,4,19,2010,83.6
Europe,Latvia,,Riga,3,3,2010,24.9
North America,US,Illinois,Chicago,12,5,2010,24.2
Europe,Germany,,Munich,10,23,2010,45.7
South/Central America & Carribean,Guatemala,,Guatemala City,7,7,2010,69.0
North America,US,Ohio,Youngstown,11,7,2010,34.6
Europe,Slovakia,,Bratislava,4,18,2010,50.2
North America,US,Maine,Caribou,4,9,2010,44.3
North America,Canada,,Toronto,8,10,2010,76.0
Middle East,Syria,,Damascus,9,17,2010,77.0
North America,US,Georgia,Atlanta,2,25,2010,32.4
Middle East,United Arab Emirates,,Abu Dhabi,2,7,2010,66.8
North America,US,Michigan,Grand Rapids,12,24,2010,28.9
South/Central America & Carribean,Guyana,,Georgetown,7,9,2010,-99.0
South/Central America & Carribean,Belize,,Belize City,3,30,2010,73.9
Asia,China,,Beijing,1,20,2010,25.8
North America,US,Michigan,Sault Ste Marie,12,30,2010,32.9
Asia,Thailand,,Bangkok,5,28,2010,85.5
North America,US,Pennsylvania,Philadelphia,7,8,2010,83.1
North America,Mexico,,Guadalajara,10,5,2010,-99.0
North America,US,Iowa,Des Moines,10,11,2010,67.4
North America,US,Texas,Austin,8,30,2010,86.8
North America,US,Alaska,Anchorage,2,16,2010,32.8
Europe,France,,Bordeaux,2,16,2010,34.8
South/Central America & Carribean,Cuba,,Havana,11,26,2010,74.1
South/Central America & Carribean,Panama,,Panama City,8,24,2010,79.6
Europe,Germany,,Hamburg,7,21,2010,81.8
Asia,India,,Chennai (Madras),4,27,2010,88.3
Europe,Austria,,Vienna,6,17,2010,62.8
North America,US,North Carolina,Asheville,4,22,2010,53.1
North America,US,North Carolina,Charlotte,6,27,2010,83.7
North America,US,Oklahoma,Tulsa,1,14,2010,47.4
Africa,Tunisia,,Tunis,4,30,2010,67.5
Middle East,Lebanon,,Beirut,10,11,2010,74.0
North America,US,Arkansas,Little Rock,9,20,2010,80.5
North America,US,North Dakota,Fargo,5,10,2010,52.1
North America,US,Maryland,Washington DC,8,2,2010,75.4
North America,US,Maine,Caribou,11,3,2010,35.9
Africa,Ethiopia,,Addis Ababa,3,29,2010,-99.0
North America,US,Michigan,Grand Rapids,5,20,2010,65.7
North America,US,Texas,Wichita Falls,11,29,2010,56.5
Africa,Morocco,,Rabat,7,5,2010,73.1
South/Central America & Carribean,Uruguay,,Montvideo,1,9,2010,74.7
North America,US,Colorado,Colorado Springs,1,27,2010,32.4
Middle East,Oman,,Muscat,1,21,2010,73.5
Asia,Philippines,,Manila,8,2,2010,82.6
North America,US,North Carolina,Raleigh Durham,12,25,2010,36.5
Asia,Bangladesh,,Dhaka,10,3,2010,87.2
Europe,Spain,,Bilbao,9,12,2010,67.2
Middle East,Lebanon,,Beirut,7,24,2010,82.4
North America,Canada,,Toronto,7,13,2010,75.6
Middle East,Jordan,,Amman,12,1,2010,61.8
Europe,Italy,,Rome,6,1,2010,66.0
North America,US,Tennessee,Nashville,6,16,2010,80.8
North America,US,Nebraska,Lincoln,2,20,2010,25.9
Europe,Greece,,Athens,2,12,2010,58.0
North America,US,South Carolina,Columbia,7,21,2010,85.5
South/Central America & Carribean,Nicaragua,,Managua,7,24,2010,84.2
Africa,South Africa,,Capetown,5,25,2010,58.3
North America,US,Oklahoma,Oklahoma City,12,18,2010,38.4
Europe,United Kingdom,,Belfast,11,3,2010,48.3
North America,US,Ohio,Akron Canton,12,21,2010,22.9
South/Central America & Carribean,Costa Rica,,San Jose,5,8,2010,76.4
Europe,Romania,,Bucharest,9,10,2010,62.7
Australia/South Pacific,Australia,,Sydney,11,26,2010,66.9
North America,US,Minnesota,Duluth,1,15,2010,17.3
North America,US,Texas,Wichita Falls,8,14,2010,91.5
North America,Mexico,,Mexico City,10,6,2010,59.6
North America,US,South Dakota,Rapid City,10,1,2010,59.9
Middle East,Turkey,,Ankara,8,15,2010,79.2
North America,US,Michigan,Detroit,5,28,2010,75.0
South/Central America & Carribean,Dominican Republic,,Santo Domingo,9,14,2010,83.2
North America,US,New York,Buffalo,7,2,2010,63.3
North America,US,Minnesota,Minneapolis St. Paul,6,4,2010,68.0
Australia/South Pacific,Australia,,Perth,9,12,2010,51.9
North America,US,North Carolina,Greensboro,4,1,2010,66.9
Africa,Zambia,,Lusaka,12,18,2010,78.3
North America,US,Ohio,Cleveland,8,31,2010,79.4
Africa,Guinea,,Conakry,3,17,2010,84.4
South/Central America & Carribean,Argentina,,Buenos Aires,12,4,2010,70.9
North America,US,Louisiana,Baton Rouge,2,15,2010,42.6
Australia/South Pacific,Australia,,Sydney,12,8,2010,65.1
Africa,Nigeria,,Niamey,11,14,2010,88.3
North America,US,Nebraska,Lincoln,9,16,2010,64.4
North America,Mexico,,Guadalajara,5,20,2010,-99.0
Australia/South Pacific,Australia,,Canberra,7,14,2010,43.3
Africa,Congo,,Brazzaville,11,2,2010,79.7
Africa,Mauritania,,Nouakchott,6,25,2010,78.2
Africa,Zambia,,Lusaka,2,23,2010,67.8
Africa,Morocco,,Rabat,6,3,2010,70.9
North America,US,Minnesota,Duluth,4,6,2010,49.9
Asia,China,,Beijing,1,4,2010,7.7
Asia,Japan,,Sapporo,8,28,2010,72.6
Australia/South Pacific,Australia,,Perth,3,21,2010,79.5
Middle East,Turkey,,Istanbul,2,26,2010,47.8
North America,Mexico,,Monterrey,10,30,2010,66.6
North America,US,Massachusetts,Boston,6,28,2010,78.5
North America,US,Alabama,Birmingham,9,20,2010,84.2
Africa,Senegal,,Dakar,6,2,2010,75.4
North America,US,Connecticut,Bridgeport,3,12,2010,43.6
Africa,Sierra Leone,,Freetown,11,17,2010,84.4
Europe,Cyprus,,Nicosia,1,4,2010,-99.0
Europe,Spain,,Barcelona,2,19,2010,52.1
Europe,Slovakia,,Bratislava,2,20,2010,37.2
North America,US,California,San Francisco,4,3,2010,51.1
Europe,Greece,,Athens,1,3,2010,56.3
Asia,China,,Chengdu,3,24,2010,48.3
North America,US,Virginia,Roanoke,3,17,2010,48.4
Europe,Spain,,Madrid,5,16,2010,57.0
Europe,Belgium,,Brussels,1,29,2010,35.5
Asia,India,,Bombay (Mumbai),10,3,2010,88.4
North America,US,Texas,Corpus Christi,7,22,2010,83.2
North America,US,Iowa,Des Moines,1,13,2010,28.0
North America,US,New York,Albany,2,25,2010,34.4
North America,US,Washington,Seattle,7,24,2010,69.4
Africa,Tunisia,,Tunis,7,23,2010,89.6
Africa,Ivory Coast,,Abidjan,2,10,2010,79.2
North America,US,Kansas,Goodland,8,8,2010,79.4
Africa,Congo,,Brazzaville,6,6,2010,77.2
Africa,Mauritania,,Nouakchott,7,23,2010,79.0
North America,US,District of Columbia,Washington,12,20,2010,30.9
North America,US,New York,Rochester,11,19,2010,36.0
North America,US,West Virginia,Charleston,2,17,2010,27.0
North America,US,Florida,West Palm Beach,11,4,2010,76.0
Europe,France,,Paris,1,20,2010,36.5
South/Central America & Carribean,Guatemala,,Guatemala City,10,27,2010,72.2
Middle East,Turkey,,Istanbul,7,10,2010,71.0
North America,US,Ohio,Akron Canton,12,13,2010,18.1
North America,US,Montana,Helena,3,20,2010,32.6
North America,US,California,Sacramento,3,24,2010,58.1
South/Central America & Carribean,Suriname,,Paramaribo,8,23,2010,82.6
Africa,Congo,,Brazzaville,8,28,2010,74.5
Asia,Turkmenistan,,Ashabad,1,12,2010,48.3
Asia,China,,Guangzhou,2,19,2010,47.8
North America,US,Ohio,Cleveland,3,2,2010,30.2
Asia,Sri Lanka,,Colombo,8,30,2010,80.3
South/Central America & Carribean,Nicaragua,,Managua,8,30,2010,88.2
Europe,Austria,,Vienna,6,3,2010,57.9
Europe,Austria,,Vienna,5,3,2010,55.7
North America,US,New Jersey,Newark,3,17,2010,53.6
North America,US,California,Fresno,1,26,2010,51.7
North America,US,Pennsylvania,Erie,8,14,2010,76.1
North America,US,Idaho,Boise,5,3,2010,53.1
South/Central America & Carribean,Brazil,,Brasilia,10,21,2010,76.6
North America,US,Maryland,Washington DC,10,4,2010,54.3
South/Central America & Carribean,Equador,,Guayaquil,8,9,2010,76.3
North America,US,New York,Albany,12,10,2010,14.9
North America,US,Pennsylvania,Pittsburgh,7,28,2010,76.4
North America,US,Georgia,Savannah,7,29,2010,81.0
South/Central America & Carribean,Guyana,,Georgetown,2,9,2010,-99.0
Asia,Mongolia,,Ulan-bator,11,9,2010,21.2
North America,US,Texas,El Paso,11,27,2010,40.0
Africa,Namibia,,Windhoek,6,28,2010,63.3
South/Central America & Carribean,Belize,,Belize City,7,6,2010,85.2
Asia,China,,Guangzhou,4,1,2010,72.6
North America,Canada,,Regina,10,6,2010,48.5
North America,US,South Dakota,Sioux Falls,6,15,2010,62.9
North America,US,Iowa,Sioux City,8,16,2010,69.2
North America,US,Arkansas,Little Rock,10,26,2010,71.4
Africa,Mauritania,,Nouakchott,7,16,2010,79.2
South/Central America & Carribean,Bahamas,,Nassau,12,18,2010,70.3
North America,US,Kentucky,Louisville,12,9,2010,26.1
North America,US,Alabama,Mobile,11,13,2010,60.4
North America,US,Pennsylvania,Pittsburgh,6,30,2010,62.6
North America,US,Kentucky,Lexington,7,19,2010,78.8
North America,US,Missouri,Kansas City,11,13,2010,41.4
Europe,United Kingdom,,Belfast,6,12,2010,58.4
South/Central America & Carribean,Uruguay,,Montvideo,1,17,2010,76.0
Europe,Switzerland,,Geneva,6,29,2010,67.9
Middle East,Saudi Arabia,,Riyadh,8,3,2010,94.5
Middle East,Qatar,,Doha,12,20,2010,70.3
North America,US,Maine,Portland,5,27,2010,53.9
North America,US,North Dakota,Bismarck,9,21,2010,52.5
North America,US,Illinois,Chicago,3,9,2010,40.0
Asia,India,,Delhi,4,1,2010,85.7
North America,US,Idaho,Boise,6,28,2010,78.9
North America,US,Pennsylvania,Wilkes Barre,3,6,2010,30.3
Europe,Belgium,,Brussels,8,14,2010,60.4
Europe,Cyprus,,Nicosia,5,23,2010,-99.0
Europe,Yugoslavia,,Belgrade,7,24,2010,75.2
Europe,Italy,,Rome,3,28,2010,53.6
North America,US,Tennessee,Nashville,6,14,2010,84.1
North America,US,Ohio,Toledo,10,13,2010,54.2
Africa,Kenya,,Nairobi,4,18,2010,-99.0
Asia,Kazakhstan,,Almaty,2,2,2010,25.9
North America,US,Tennessee,Memphis,8,16,2010,88.2
North America,US,Minnesota,Duluth,4,22,2010,37.4
North America,US,Missouri,Springfield,1,13,2010,31.9
North America,US,Arkansas,Little Rock,4,21,2010,64.6
Africa,Congo,,Brazzaville,9,18,2010,87.6
North America,US,California,Fresno,7,23,2010,83.8
South/Central America & Carribean,Bermuda,,Hamilton,5,24,2010,71.9
Africa,Tanzania,,Dar Es Salaam,4,8,2010,80.6
North America,US,District of Columbia,Washington,8,28,2010,77.1
Asia,Uzbekistan,,Tashkent,10,13,2010,63.6
Australia/South Pacific,Australia,,Brisbane,10,16,2010,58.9
North America,US,Illinois,Chicago,5,15,2010,56.1
Asia,Japan,,Tokyo,6,30,2010,78.6
North America,US,Missouri,Springfield,11,3,2010,47.0
North America,US,Indiana,South Bend,1,7,2010,16.8
North America,US,North Carolina,Charlotte,11,5,2010,46.3
